,strikePrice,expiryDate,PE,CE
16,17000,26-Jun-2025,"{'strikePrice': 17000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE17000.00', 'openInterest': 49, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 9300, 'totalSellQuantity': 5700, 'bidQty': 75, 'bidprice': 11, 'askQty': 150, 'askPrice': 16, 'underlyingValue': 22508.75}","{'strikePrice': 17000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025CE17000.00', 'openInterest': 45, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 0, 'bidQty': 0, 'bidprice': 0, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}"
17,17000,25-Sep-2025,"{'strikePrice': 17000, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025PE17000.00', 'openInterest': 2, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 525, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 20.35, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}","{'strikePrice': 17000, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025CE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 225, 'totalSellQuantity': 0, 'bidQty': 225, 'bidprice': 5765.65, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}"
18,17000,24-Dec-2025,"{'strikePrice': 17000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE17000.00', 'openInterest': 50, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 5325, 'totalSellQuantity': 0, 'bidQty': 1500, 'bidprice': 21.8, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}","{'strikePrice': 17000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025CE17000.00', 'openInterest': 9.333333333333334, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 150, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 5401.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}"
19,17000,25-Jun-2026,"{'strikePrice': 17000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 600, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 27.9, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
20,17000,31-Dec-2026,"{'strikePrice': 17000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE17000.00', 'openInterest': 38, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1050, 'totalSellQuantity': 0, 'bidQty': 750, 'bidprice': 35.6, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
21,17000,24-Jun-2027,"{'strikePrice': 17000, 'expiryDate': '24-Jun-2027', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-06-2027PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 900, 'totalSellQuantity': 0, 'bidQty': 750, 'bidprice': 40.8, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
22,17000,30-Dec-2027,"{'strikePrice': 17000, 'expiryDate': '30-Dec-2027', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY30-12-2027PE17000.00', 'openInterest': 189.33333333333334, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 525, 'totalSellQuantity': 0, 'bidQty': 450, 'bidprice': 46.45, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
23,17000,29-Jun-2028,"{'strikePrice': 17000, 'expiryDate': '29-Jun-2028', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY29-06-2028PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 300, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 50.5, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
24,17000,28-Dec-2028,"{'strikePrice': 17000, 'expiryDate': '28-Dec-2028', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-12-2028PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 300, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 53.35, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
25,17000,28-Jun-2029,"{'strikePrice': 17000, 'expiryDate': '28-Jun-2029', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-06-2029PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 300, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 55.25, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
26,17000,27-Dec-2029,"{'strikePrice': 17000, 'expiryDate': '27-Dec-2029', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-12-2029PE17000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 300, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 56.25, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
27,18000,27-Mar-2025,"{'strikePrice': 18000, 'expiryDate': '27-Mar-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-03-2025PE18000.00', 'openInterest': 46995, 'changeinOpenInterest': 335.6666666666667, 'pchangeinOpenInterest': 0.7193987626627042, 'totalTradedVolume': 53362, 'impliedVolatility': 45.06, 'lastPrice': 0.45, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3677100, 'totalSellQuantity': 712950, 'bidQty': 628725, 'bidprice': 0.45, 'askQty': 92250, 'askPrice': 0.5, 'underlyingValue': 22508.75}","{'strikePrice': 18000, 'expiryDate': '27-Mar-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-03-2025CE18000.00', 'openInterest': 6068.666666666667, 'changeinOpenInterest': -200, 'pchangeinOpenInterest': -3.1904711262363077, 'totalTradedVolume': 292, 'impliedVolatility': 64.01, 'lastPrice': 4578, 'change': 147.75, 'pChange': 3.335026240054173, 'totalBuyQuantity': 5550, 'totalSellQuantity': 4800, 'bidQty': 150, 'bidprice': 4574.95, 'askQty': 75, 'askPrice': 4593.65, 'underlyingValue': 22508.75}"
28,18000,26-Jun-2025,"{'strikePrice': 18000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE18000.00', 'openInterest': 2728, 'changeinOpenInterest': 184, 'pchangeinOpenInterest': 7.232704402515723, 'totalTradedVolume': 410, 'impliedVolatility': 22.83, 'lastPrice': 15.65, 'change': -3.200000000000001, 'pChange': -16.976127320954912, 'totalBuyQuantity': 23550, 'totalSellQuantity': 13500, 'bidQty': 225, 'bidprice': 15.65, 'askQty': 75, 'askPrice': 16, 'underlyingValue': 22508.75}","{'strikePrice': 18000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025CE18000.00', 'openInterest': 562.3333333333334, 'changeinOpenInterest': 223, 'pchangeinOpenInterest': 65.71709233791749, 'totalTradedVolume': 327, 'impliedVolatility': 0, 'lastPrice': 4818.1, 'change': 143.75, 'pChange': 3.0752938911292476, 'totalBuyQuantity': 2925, 'totalSellQuantity': 1200, 'bidQty': 75, 'bidprice': 4810.7, 'askQty': 75, 'askPrice': 4847, 'underlyingValue': 22508.75}"
29,18000,25-Sep-2025,"{'strikePrice': 18000, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 2175, 'totalSellQuantity': 0, 'bidQty': 1725, 'bidprice': 22.8, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}","{'strikePrice': 18000, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025CE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 225, 'totalSellQuantity': 0, 'bidQty': 225, 'bidprice': 4859.7, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}"
30,18000,24-Dec-2025,"{'strikePrice': 18000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE18000.00', 'openInterest': 72.33333333333333, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4275, 'totalSellQuantity': 1200, 'bidQty': 1500, 'bidprice': 28.6, 'askQty': 1200, 'askPrice': 122.55, 'underlyingValue': 22508.75}","{'strikePrice': 18000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025CE18000.00', 'openInterest': 126, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 75, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 5000, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}"
31,18000,25-Jun-2026,"{'strikePrice': 18000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 450, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 43.95, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
32,18000,31-Dec-2026,"{'strikePrice': 18000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE18000.00', 'openInterest': 69, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 900, 'totalSellQuantity': 0, 'bidQty': 750, 'bidprice': 58.45, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
33,18000,24-Jun-2027,"{'strikePrice': 18000, 'expiryDate': '24-Jun-2027', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-06-2027PE18000.00', 'openInterest': 0.3333333333333333, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1125, 'totalSellQuantity': 0, 'bidQty': 225, 'bidprice': 68.75, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
34,18000,30-Dec-2027,"{'strikePrice': 18000, 'expiryDate': '30-Dec-2027', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY30-12-2027PE18000.00', 'openInterest': 135.66666666666666, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 825, 'totalSellQuantity': 450, 'bidQty': 225, 'bidprice': 78, 'askQty': 75, 'askPrice': 190, 'underlyingValue': 22508.75}",
35,18000,29-Jun-2028,"{'strikePrice': 18000, 'expiryDate': '29-Jun-2028', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY29-06-2028PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 375, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 82.2, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
36,18000,28-Dec-2028,"{'strikePrice': 18000, 'expiryDate': '28-Dec-2028', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-12-2028PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 375, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 86.2, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
37,18000,28-Jun-2029,"{'strikePrice': 18000, 'expiryDate': '28-Jun-2029', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-06-2029PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 375, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 87.95, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
38,18000,27-Dec-2029,"{'strikePrice': 18000, 'expiryDate': '27-Dec-2029', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-12-2029PE18000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 375, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 88, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
39,19000,27-Mar-2025,"{'strikePrice': 19000, 'expiryDate': '27-Mar-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-03-2025PE19000.00', 'openInterest': 8449.666666666666, 'changeinOpenInterest': -1010, 'pchangeinOpenInterest': -10.676908981993728, 'totalTradedVolume': 4928, 'impliedVolatility': 35.87, 'lastPrice': 0.7, 'change': -0.10000000000000009, 'pChange': -12.50000000000001, 'totalBuyQuantity': 343125, 'totalSellQuantity': 73725, 'bidQty': 17625, 'bidprice': 0.65, 'askQty': 375, 'askPrice': 0.7, 'underlyingValue': 22508.75}","{'strikePrice': 19000, 'expiryDate': '27-Mar-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY27-03-2025CE19000.00', 'openInterest': 944.3333333333334, 'changeinOpenInterest': -412, 'pchangeinOpenInterest': -30.376013762595232, 'totalTradedVolume': 748, 'impliedVolatility': 54.66, 'lastPrice': 3588.65, 'change': 153.8499999999999, 'pChange': 4.479154535926398, 'totalBuyQuantity': 7500, 'totalSellQuantity': 4800, 'bidQty': 450, 'bidprice': 3576.4, 'askQty': 75, 'askPrice': 3592.85, 'underlyingValue': 22508.75}"
40,19000,26-Jun-2025,"{'strikePrice': 19000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE19000.00', 'openInterest': 13063, 'changeinOpenInterest': -178.66666666666666, 'pchangeinOpenInterest': -1.3492762743864066, 'totalTradedVolume': 748, 'impliedVolatility': 20.08, 'lastPrice': 25.75, 'change': -6.299999999999997, 'pChange': -19.65678627145085, 'totalBuyQuantity': 23475, 'totalSellQuantity': 9750, 'bidQty': 525, 'bidprice': 25.75, 'askQty': 225, 'askPrice': 26.6, 'underlyingValue': 22508.75}","{'strikePrice': 19000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025CE19000.00', 'openInterest': 2420, 'changeinOpenInterest': 712, 'pchangeinOpenInterest': 41.686182669789225, 'totalTradedVolume': 820, 'impliedVolatility': 0, 'lastPrice': 3865, 'change': 121.59999999999991, 'pChange': 3.2483838221937256, 'totalBuyQuantity': 525, 'totalSellQuantity': 900, 'bidQty': 75, 'bidprice': 3867.8, 'askQty': 75, 'askPrice': 3887.85, 'underlyingValue': 22508.75}"
